# TeXdoc database file
# some documentation is included in .sty files only; texdoctk needs keys for
# extracting it at the beginning of the 4th field:
# -0-: no specific place; -1-: at end, behind \endinput; -2-: at beginning,
# terminated by %%%%%%; -3-: at beginning, terminated with blank line
@Fundamentals/general references
currvita;Curriculum vitae in form of a list (currvita);latex/currvita/currvita.dvi;CV
array;Extended tabular and array environments 1 (array);latex/tools/array.dvi;
mdwtab;Extended tabular and array environments 2 (mdwtab);latex/mdwtools/mdwtab.dvi;
blkarray;Extended tabular and array environments 3 (blkarray);latex/styles/blkarray.dvi;
wrapfig;Wrap text around tables (wrapfig);latex/misc/wrapfig.sty;-1-
delarray;Arrays with delimiters (delarray);latex/tools/delarray.dvi;
tabls;Keep text from touching other text/hlines (tabls);latex/misc/tabls.sty;-1-, table, array
mdwlist;Additional list environments/commands (mdwlist);latex/mdwtools/mdwlist.dvi;description, enumerate
paralist;Additional list environments (paralist);latex/styles/paralist.dvi;itemize, enumerate
enumerate;Extended enumeration style (enumerate);latex/tools/enumerate.dvi;
greekctr;Greek letters as \alph-style counters (greekctr);latex/jknappen/greekctr.sty;-1-
#
@ToC, index and glossary
tocloft;Layout of table of contents, list of figures/tables (tocloft);latex/styles/tocloft.dvi;
titletoc;Layout of table of contents (titletoc);latex/styles/titlesec.dvi;
multitoc;Multi-column table of contents/tables/figures (multitoc);latex/ms/multitoc.dvi;
minitoc;Tables of contents/tables/figures at beginning of chapter (minitoc);latex/minitoc/minitoc.dvi;
minitoc2;minitoc bugs & FAQ (minitoc);latex/minitoc/minitoc.bug;
tocbibind;Inclusion of bibliography, index etc. in table of contents (tocbibind);latex/tocbibind/tocbibind.dvi;
makeindex;MakeIndex;makeindex/makeindex.dvi;index
index;Reimplementation of indexing commands (index);latex/styles/index.dvi;index
multind;Multiple indexes (multind);latex/misc/multind.sty;-0-, makeindex
nomencl;List of used variables/Glossary (nomencl);latex/nomencl/nomencl.dvi
#
@Bibliography
bibtexdoc;BIBTeX documentation (bibtex);bibtex/base/btxdoc.dvi;references, citations
natbib;Bibliography with author-year or numerical style (natbib);latex/natbib/natbib.dvi;citation, references
natbib2;natbib reference sheet;latex/natbib/natnotes.dvi;citation
cite;Number-only citations/compressed references (cite);latex/cite/cite.sty;-1-
overcite;Superscript number-only citations/compressed references (overcite);latex/cite/overcite.sty;-1-, cite
citesort;Variant of cite with sorted citations (citesort);latex/misc/citesort.sty;-3-, references
chapterbib;Multiple bibliographies in document (chapterbib);latex/cite/chapterbib.sty;-1-, references, citations
drftcite;Use citation labels instead of numbers in drafts (drftcite);latex/cite/drftcite.sty;-1-, cite, references, citations
custom-bib;Bibliography customization (custom-bib/makebst);latex/custom-bib/makebst.dvi;
tocbibind;Inclusion of bibliography, index etc. in table of contents (tocbibind);latex/tocbibind/tocbibind.dvi;
bibentry;Bibliography entries in text (bibentry);latex/natbib/bibentry.dvi;citation
#
@Mathematics/math fonts
AMSlatex;AMS LaTeX manual;latex/amsmath/amsldoc.dvi;tutorial, equation alignment, matrix, operators, symbols, equation numbering, arrows, roots, fractions, theorems
symbols;LaTeX symbol table;latex/general/symbols.dvi;mathematics
AMSguide;AMS TeX Guide;amstex/amsguide.dvi; mathematics, math fonts, symbols
amsfaq;AMS FAQ;latex/amscls/amsclass.faq;tutorial
AMSppt;AMS preprint style FAQ (amsppt);amstex/amsppt.faq; mathematics
amslatex2;Technical notes on AMSLaTeX 2.0;latex/amsmath/technote.dvi;
amsthm;AMS theorem environment (amsthm);latex/amscls/amsthdoc.dvi;
amsthm2;amsthm example;latex/amscls/thmtest.dvi;theorem
theorem;Extended theorem style (theorem);latex/tools/theorem.dvi;
mathenv;Equation alignment (mathenv);latex/mdwtools/mdwtab.dvi;matrix
subeqn;Equation subnumbering and primes;latex/amsmath/subeqn.dvi;subequation
sublabel;Subnumbering of counters (sublabel);latex/preprint/sublabel.dvi;
nicefrac;Nice fractions in text (nicefrac);latex/units/units.dvi;
leftidx;Left indices (leftidx);latex/leftidx/leftidx.dvi;
mdwmath;Square root without vinculum (mdwmath);latex/mdwtools/mdwmath.dvi;
comma;numbers with comma every 3 digits (comma);latex/carlisle/comma.sty;-2-, separator
pb-diagram;Commutative diagrams (pb-diagram);latex/pb-diagram/pb-manual.dvi;
AMSfonts;AMS Fonts;fonts/amsfonts/amsfndoc.dvi;
bm;Bold math symbols (bm);latex/tools/bm.dvi;mathematics, sets
bbm;Bold math font (bbm);latex/styles/bbm.dvi;mathematics, sets
bbold;bbold symbol font (bbold);latex/styles/bbold.dvi;mathematics, sets
mathbbol;Jeffrey fonts for blackboard, sets etc. (mathbbol);latex/jknappen/mathbbol.rme;mathematics, sets
concmath;Concrete Math fonts (concmath);latex/styles/concmath.dvi;
dstroke;Doublestroke fonts for sets (dstroke);fonts/dstroke/dsdoc.dvi;mathematics
euler;AMS Euler fonts (euler);latex/styles/euler.dvi;mathematics
eufrak;Euler Fraktur fonts for math (eufrak);fonts/amsfonts/eufrak.dvi;
euscript;Euler Script/calligraphic fonts for math (euscript/eucal);fonts/amsfonts/euscript.dvi;
mathrsfs;Ralph Smith Formal Script (mathrsfs);latex/jknappen/mathrsfs.rme;calligraphic
mathtime;Math Times fonts (mathtime/mathpi);latex/mathtime/mathtime.dvi;
mt11p;Math Times font access (mt11p);latex/mt11p/mt11p.dvi;
belleek;Belleek fonts (belleek);fonts/belleek/README;mathtime
mathcomp;Text Companion fonts in math mode (mathcomp);latex/styles/mathcomp.dvi;
#
@Special text elements
footmisc;Footnotes 1 (footmisc);latex/footmisc/footmisc.dvi;
footnote;Footnotes 2 (footnote);latex/mdwtools/footnote.dvi;
ftnright;Footnotes in a multi-column layout (ftnright);latex/tools/ftnright.dvi;
fnpara;Footnotes in run-on paragraphs (fnpara);latex/misc/fnpara.sty;-1-
footnpag;Page-per-page footnote numbering (footnpag);latex/styles/footnpag-user.dvi;
endnotes;Endnotes (endnotes);latex/misc/endnotes.sty;-3-, footnotes
greekctr;Greek letters as \alph-style counters (greekctr);latex/jknappen/greekctr.sty;-1-
varioref;References to figures, equations etc. (varioref);latex/tools/varioref.dvi;
lastpage;References to the last page (lastpage);latex/styles/lastpage.dvi;
xr;References to external documents (xr);latex/tools/xr.dvi;
hyperref;Hyperlinks in LaTeX (hyperref);latex/hyperref/manual.pdf;HyperTeX
showkeys;Show reference keys in text (showkeys);latex/tools/showkeys.dvi;citation
syntax;Typesetting syntactic items (syntax);latex/mdwtools/syntax.dvi;
acronym;Defining and referencing acronyms (acronym);latex/acronym/acronym.dvi;
hypbmsec;Bookmarks in sectioning commands (hypbmsec);latex/oberdiek/hypbmsec.pdf;
hyphenat;Hyphenation disabling/control (hyphenat);latex/styles/hyphenat.dvi;
units;Typesetting units as nice fractions (units);latex/units/units.dvi;
SIunits;Typesetting SI units (SIunits);latex/SIunits/SIunits.pdf;
ppchtex;Chemical structure formulae with ConTeXt (ppchtex);context/ppchtex/mp-ch-en.pdf;chemistry
soul;Letterspacing, underlining etc. (soul);latex/styles/soul.dvi; strikeout
ulem;Several underlining styles (ulem);latex/misc/ulem.sty;-1-
url;Typeset URLs, emails, paths etc. verbatim 1 (url);latex/misc/url.sty;-1-
path;Typeset URLs, emails, paths etc. verbatim 2 (path);generic/misc/path.sty;-0-
prelim2e;Mark preliminary versions of document (prelim2e);latex/ms/prelim2e.dvi;draft
shapepar;Shaped paragraphs (shapepar);latex/misc/shapepar.sty;-1-
framed;framed/shaded regions with page breaks (framed);latex/misc/framed.sty;-2-, boxes
authblk;Author/affiliation block for preprints (authblk);latex/preprint/authblk.dvi;preprint, submission
#
@Verbatim and code printing
verbatim;Extension to verbatim 1/comments (verbatim);latex/tools/verbatim.dvi;
moreverb;Extension to verbatim 2/line numbering (moreverb);latex/styles/moreverb.dvi;
fancyvrb;Fancy verbatim printing (fancyvrb);latex/fancyvrb/fancyvrb.ps;line numbering, boxes, colour
fvrb-ex;fancyvrb extension: example environments (fvrb-ex);latex/fancyvrb/fvrb-ex.dvi;verbatim, line numbering, boxes, colour
sverb;Extension to verbatim printing 3 (sverb);latex/mdwtools/sverb.dvi;
program;Program/algorithm typesetting (program);latex/program/program.txt;
#
@Auxiliary tools
plain;Plain TeX code in LaTeX (plain);latex/carlisle/plain.txt;
optional;Print multiple versions of a document from 1 source;latex/misc/optional.sty;-3-
pagesel;Select pages for output (pagesel);latex/oberdiek/pagesel.pdf;extract
count1to;Page number marks for extraction (count1to);latex/ms/count1to.dvi;
pdfpages;Include pages of external PDF (pdfpages);latex/pdfpages/pdfpages.dvi;psnup
remreset;Suppress counter reset (remreset);latex/carlisle/remreset.sty;
sublabel;Subnumbering of counters (sublabel);latex/preprint/sublabel.dvi;
textmerg;Merge texts (textmerg);latex/textmerg/textmerg.dvi;
showlabels;Keep track of used labels (showlabels);latex/showlabels/showlabels.dvi;
changebar;Indicate document modifications (changebar);latex/changebar/changebar.dvi;draft
version;Include/exclude parts of document (version);latex/misc/version.sty;-2-, comment
verbatim;Comment out parts of text 1 (verbatim);latex/tools/verbatim.dvi;
comment;Comment out parts of text 2 (comment);latex/misc/comment.sty;
fileerr;Avoid fatal file not found errors (fileerr);latex/tools/fileerr.dvi;
calc;Infix notation arithmetic in LaTeX (calc);latex/tools/calc.dvi;calculation, float arithmetic
fp;Fixed-point arithmetic for TeX (fp);latex/styles/readme.fp;calculation
textcmds;Shorthands for non-letter text symbols (textcmds);latex/amscls/textcmds.dvi;
alphalph;Convert numbers to letters (alphalph);latex/oberdiek/alphalph.pdf;
mylatex;Make a format based on preamble of any LaTeX file;latex/carlisle/mylatex.ltx;-2-
typehtml;Process HTML code (typehtml);latex/carlisle/typehtml.dvi;
texnames;Typeset names of TeX and METAFONT programs (texnames);generic/misc/texnames.sty;-0-
#
@Non-standard document styles
articlex;Extended article class (dutch);latex/ntgclass/artdoc.dvi;
rapdoc;Extended report class (dutch);latex/ntgclass/rapdoc.dvi;
dinbrief;DIN letter (dinbrief);latex/dinbrief/dinbrief.dvi;
g-brief;Alternative german letter style (g-brief);latex/g-brief/g-brief.dvi;
brief;Dutch (NEN) letter style (brief);latex/ntgclass/briefdoc.dvi;
seminar;Slides/foils (seminar);latex/seminar/sem-user.dvi;overhead
semfaq;FAQ for seminar;latex/seminar/Seminar-FAQ.html;overhead
sembugs;Bug list for seminar;latex/seminar/Seminar-Bugs.html;overhead
KOMA;KOMA-Script User's Guide;latex/koma-script/scrguien.pdf;tutorial, introduction
KOMAg;KOMA-Script User's Guide (german);latex/koma-script/scrguide.pdf;tutorial, introduction
exam;Exam class (exam);latex/styles/examdoc.dvi;
endfloat;Submissions (endfloat);latex/styles/endfloat.dvi;
draftcopy;Drafts (draftcopy);latex/draftcopy/draftcopy.dvi;
labels;Labels for envelopes (labels);latex/styles/labels.dvi;
AMSinstr;AMS book/paper typesetting intructions;latex/amscls/instr-l.dvi;submissions
revtex;APS REVTeX 4 author guide (revtex);latex/revtex4/auguide.dvi;submissions
revtex2;APS REVTeX 4 command summary (revtex);latex/revtex4/summary.dvi;submissions
revtex3;Differences between REVTeX 3 and 4 (revtex);latex/revtex4/differ.dvi;submissions
